id,progeny,family,IA_2012_yield,IA_2013_yield,IL_2012_yield,IL_2013_yield,IN_2012_yield,IN_2013_yield,NE_2012_yield,IA_2012_Yield,IA_2013_Yield,IL_2012_Yield,IL_2013_Yield,IN_2012_Yield,IN_2013_Yield,NE_2012_Yield,IA_2013_Protein,IL_2012_Protein,IL_2013_Protein,IN_2012_Protein,IN_2013_Protein,NE_2012_Protein,NE_2013_Protein,IA_2013_Oil,IL_2012_Oil,IL_2013_Oil,IN_2012_Oil,IN_2013_Oil,NE_2012_Oil,NE_2013_Oil,IA_2013_Fiber,IL_2012_Fiber,IL_2013_Fiber,IN_2012_Fiber,IN_2013_Fiber,NE_2012_Fiber,NE_2013_Fiber,IA_2013_seedWT,IL_2012_seedWT,IL_2013_seedWT,IN_2012_seedWT,IN_2013_seedWT,NE_2012_seedWT,NE_2013_seedWT,mean_Yield,mean_Protein,mean_Oil,mean_Fiber,mean_seedWT
176,DS11.03119,IA3023xX4J105.3.4,3894,1211,3645,3006,5779,4430,5740,3894.3,1210.8,3645,3006.1,5778.7,4429.7,5739.5,33.09,31.69,32.81,34.9,34.51,34.9,35.01,19.24,21.04,20.94,19.06,20.22,18.7,20.34,4.92,4.81,4.83,4.76,4.66,4.8,4.58,12.6,16.43,14,16.86,16.8,16.3,13.1,3957.728571,33.84428571,19.93428571,4.765714286,15.15571429
177,DS11.03120,IA3023xX4J105.3.4,3476,1015,3295,2677,4695,4825,5628,3476.3,1015.4,3295.3,2676.6,4695.3,4824.9,5627.5,35.08,33.6,33.38,37.09,35.69,35.9,34.24,18.51,19.77,20.99,17.55,19.47,18.5,19.65,4.81,4.75,4.76,4.66,4.6,4.6,4.78,13,17.16,14.2,15.78,16.2,15.6,14.6,3658.757143,34.99714286,19.20571429,4.708571429,15.22
178,DS11.03122,IA3023xX4J105.3.4,3516,2163,3968,4109,4762,5076,4873,3515.7,2163.4,3967.8,4109,4762.5,5075.9,4873.2,31.92,33.88,33.37,34.16,33.68,35.6,35.39,19.89,19.82,20.87,19.38,20.79,18.5,20.01,4.94,4.71,4.81,4.78,4.69,4.7,4.58,16.5,20.24,17.5,18.56,18.3,18.1,14.1,4066.785714,34,19.89428571,4.744285714,17.61428571
179,DS11.03123,IA3023xX4J105.3.4,3501,2923,4163,3262,4978,5787,5055,3501.4,2923.4,4162.8,3261.6,4978.5,5787.2,5054.9,31.91,32.64,32.92,36.93,34.81,35.3,35.02,19.84,20.26,21.68,18.2,19.83,18.8,19.98,5,4.78,4.75,4.63,4.67,4.7,4.66,15.3,16.98,14.3,15.63,15.1,14.4,11.4,4238.542857,34.21857143,19.79857143,4.741428571,14.73
180,DS11.03124,IA3023xX4J105.3.4,2985,958,3531,3107,4988,4097,4893,2984.9,957.8,3530.6,3107,4988,4097.3,4893.4,32.54,31.82,31.42,35.3,32.56,34.7,34.29,19.19,20.74,21.85,18.73,20.67,19.1,20.36,4.98,4.82,4.92,4.73,4.84,4.8,4.66,12.1,15.41,12.4,16.17,13.1,13.6,11.5,3508.428571,33.23285714,20.09142857,4.821428571,13.46857143
181,DS11.03126,IA3023xX4J105.3.4,3693,1773,4230,3127,4842,5360,6907,3693.3,1772.6,4230,3127.1,4841.9,5359.9,6907.1,33.93,31.62,32.43,35.59,34.36,34,35.85,18.56,20.75,21.63,18.46,19.9,19.4,19.94,4.92,4.84,4.8,4.73,4.71,4.8,4.54,14.8,17.66,16.1,18.02,17.4,18.1,15.2,4275.985714,33.96857143,19.80571429,4.762857143,16.75428571
182,DS11.03128,IA3023xX4J105.3.4,3508,1231,4560,3914,5500,6122,5452,3507.7,1231.2,4559.6,3914,5500.5,6122.5,5451.5,33.26,32.91,33.08,35.68,34.89,36.2,35.06,18.95,20.45,20.95,18.61,19.96,18.7,20.19,4.92,4.74,4.81,4.71,4.63,4.6,4.59,13.9,19.68,14.3,17.45,18.6,16.1,13.9,4326.714286,34.44,19.68714286,4.714285714,16.27571429
183,DS11.03129,IA3023xX4J105.3.4,3447,1203,4042,3208,5606,5426,5013,3447.3,1202.8,4041.7,3207.8,5606.5,5425.7,5013.4,34.67,33.73,32.69,35.59,35.84,36,35.31,18.91,20.55,21.84,19.09,19.77,19.1,20.59,4.77,4.66,4.73,4.65,4.61,4.6,4.52,11.6,19.59,14.8,18.74,17,16,14,3992.171429,34.83285714,19.97857143,4.648571429,15.96142857
184,DS11.03130,IA3023xX4J105.3.4,3334,973,3497,3490,5180,5428,5290,3334.1,973,3497,3490.3,5179.5,5428.2,5289.8,34.66,32.81,33.3,35.16,34.94,34.8,35.34,18.49,20.56,21.17,19.02,19.84,19.1,19.93,4.86,4.78,4.76,4.73,4.65,4.7,4.59,11.5,14.65,13,15.9,15.3,14,11.9,3884.557143,34.43,19.73,4.724285714,13.75
185,DS11.03131,IA3023xX4J105.3.4,3432,1234,3900,3215,4868,5050,5520,3431.5,1233.9,3900.5,3214.6,4867.6,5049.8,5519.8,33.78,34.22,34.19,36.06,35.78,36.4,35.57,18.89,19.71,20.81,18.77,19.62,18.3,19.65,4.93,4.72,4.74,4.65,4.69,4.7,4.6,13.1,16.67,14.3,14.61,14.8,15.4,13.1,3888.242857,35.14285714,19.39285714,4.718571429,14.56857143
186,DS11.03132,IA3023xX4J105.3.4,3975,2276,4533,3215,5387,5658,5753,3975.2,2276.2,4532.7,3214.6,5387.3,5658,5753.2,32.13,33.08,32.57,36.43,34.42,35.4,35.22,19.87,20.28,21.38,18.49,20.31,18.9,18.81,4.95,4.73,4.77,4.64,4.73,4.7,4.77,16.2,19.31,15.5,17.39,17.5,17.1,12.8,4399.6,34.17857143,19.72,4.755714286,16.54285714
187,DS11.03133,IA3023xX4J105.3.4,3497,1914,3766,3060,5124,5068,4449,3497.4,1913.6,3766,3059.9,5124.2,5068.2,4449.4,34.02,34.28,34.07,35.98,35.91,36.4,35.75,19.32,20.29,21.41,19.12,19.73,18,20.17,4.86,4.65,4.65,4.62,4.56,4.7,4.5,14.3,15.51,14.2,15.36,15.1,13.1,12.5,3839.814286,35.20142857,19.72,4.648571429,14.29571429
188,DS11.03134,IA3023xX4J105.3.4,3309,1510,4526,3887,5331,5712,5606,3309.3,1509.5,4525.9,3887.1,5330.9,5711.5,5605.7,33.3,32.07,31.8,35.52,33.85,34.4,35,19.8,21.07,22.06,19.23,20.26,19.7,20.14,4.83,4.77,4.8,4.65,4.69,4.7,4.61,14.4,21.99,17.7,19.19,20.8,17.6,16.1,4268.557143,33.70571429,20.32285714,4.721428571,18.25428571
189,DS11.03135,IA3023xX4J105.3.4,3915,1757,4075,3255,4887,6011,4729,3915.1,1757.3,4075.4,3254.9,4887.4,6010.9,4729.2,31.08,31.28,31.21,32.96,33.03,33.8,34.17,20.18,20.88,21.82,19.93,20.41,19.3,20.3,5,4.84,4.89,4.82,4.82,4.8,4.7,15.9,20.05,15.4,18.05,18.5,16.2,13.7,4090.028571,32.50428571,20.40285714,4.838571429,16.82857143
190,DS11.03138,IA3023xX4J105.3.4,3631,1196,3968,3020,5408,4750,5739,3630.9,1195.7,3967.8,3019.5,5407.9,4749.7,5738.6,31.81,30.98,30.52,33.04,32,31.8,32.55,20.25,21.59,22.33,20.14,20.79,20.2,21.56,5.01,4.77,4.88,4.81,4.85,4.9,4.73,12.6,19.62,16.5,18.86,18,18.7,15.2,3958.585714,31.81428571,20.98,4.85,17.06857143
191,DS11.03142,IA3023xX4J105.3.4,3277,1805,3921,3571,4980,5599,5541,3277,1804.9,3920.7,3571,4980.2,5599.4,5541.2,32.67,33.64,33.05,36.05,35.02,35.7,35.71,20,20.22,21.14,18.97,20.32,19.4,20.28,4.83,4.71,4.76,4.62,4.58,4.6,4.51,16.9,19.22,16,18.17,18.9,16.8,13.8,4099.2,34.54857143,20.04714286,4.658571429,17.11285714
192,DS11.03143,IA3023xX4J105.3.4,3616,1090,3995,3315,5248,5594,4746,3616.3,1090.2,3994.7,3315.4,5248,5594.1,4746.3,33.81,33.83,32.55,35.59,33.88,34.8,34.55,17.93,19.29,20.58,17.95,19.74,18.3,19.8,5.05,4.8,4.92,4.79,4.77,4.8,4.72,12.2,17.38,14.4,16.77,17.2,14.2,13.3,3943.571429,34.14428571,19.08428571,4.835714286,15.06428571
193,DS11.03144,IA3023xX4J105.3.4,3670,1839,4634,3248,4759,4623,4208,3670.2,1839.3,4633.5,3248.2,4759.2,4622.7,4208.3,32.1,32.8,31.88,34.37,34,35.7,34.67,19.11,19.42,20.93,18.44,19.79,18.1,19.06,4.97,4.89,4.88,4.87,4.75,4.8,4.81,15.1,19.81,16.3,16.97,18.9,15.3,14.8,3854.485714,33.64571429,19.26428571,4.852857143,16.74
194,DS11.03145,IA3023xX4J105.3.4,3275,1933,4660,3900,5017,5718,4299,3275.3,1933,4660.4,3900.5,5016.7,5718.2,4299.4,30.74,32.29,30.98,33.64,33.19,33.3,33.47,19.97,20.11,21.37,19.78,20.07,19.2,20.51,5.07,4.8,4.93,4.79,4.8,4.9,4.76,16.1,20.85,18.1,15.39,19,16.3,14.6,4114.785714,32.51571429,20.14428571,4.864285714,17.19142857
195,DS11.03147,IA3023xX4J105.3.4,3951,1638,3685,3302,4426,5557,4531,3951.1,1638,3685.3,3302,4426.3,5557.1,4530.6,33.04,32.95,32.55,37.03,34.55,35.6,35.51,20.04,20.6,21.77,19.16,20.3,18.6,19.67,4.81,4.71,4.76,4.51,4.66,4.7,4.62,15.1,16.7,14.9,15.48,17.4,14.9,13,3870.057143,34.46142857,20.02,4.681428571,15.35428571
196,DS11.03148,IA3023xX4J105.3.4,3628,2166,4048,4035,4723,7023,5642,3628,2166.5,4048.5,4035,4722.9,7023.3,5642.2,31.59,32.41,30.9,34.15,33.35,33,33.35,20.05,20.16,21.71,19.17,19.97,19.8,21.07,5.02,4.8,4.89,4.79,4.79,4.8,4.69,17.4,21,18.6,20.17,21.2,16.6,14.9,4466.628571,32.67857143,20.27571429,4.825714286,18.55285714
197,DS11.03149,IA3023xX4J105.3.4,3279,1634,3410,3248,5598,5155,5393,3279.2,1634.4,3409.6,3248.2,5598.3,5155.3,5393,33.33,33.97,32.07,35.37,34.73,35,34.84,19.16,19.94,21.7,18.75,19.78,19.2,19.98,4.86,4.7,4.81,4.71,4.71,4.7,4.65,14,18.36,13.3,16.83,15.7,16.9,13.5,3959.714286,34.18714286,19.78714286,4.734285714,15.51285714
198,DS11.03151,IA3023xX4J105.3.4,4107,2076,3800,3605,4826,5313,5330,4106.6,2076.5,3799.6,3604.6,4825.9,5312.7,5329.6,34.67,33.14,32.65,33.78,34.01,33.7,34.39,19.44,20.05,20.84,19.3,19.58,18.8,19.84,5.01,4.76,4.86,4.83,4.82,4.9,4.74,17.4,19.9,15.6,18.83,19.4,17,13.5,4150.785714,33.76285714,19.69285714,4.845714286,17.37571429
199,DS11.03154,IA3023xX4J105.3.4,3770,1913,4075,3759,5271,6249,4460,3769.8,1912.6,4075.4,3759.3,5271,6249.2,4459.5,31.78,32,31,33.6,33.16,34.2,33.19,20.13,20.83,21.96,19.72,19.9,19.2,20.85,4.94,4.74,4.89,4.78,4.82,4.8,4.74,15.9,20.36,16.8,20.71,20.1,17.8,16.2,4213.828571,32.70428571,20.37,4.815714286,18.26714286
200,DS11.03157,IA3023xX4J105.3.4,3468,2043,3544,3127,5448,4217,5014,3468.4,2042.8,3544.1,3127.1,5448.4,4217.1,5014.4,32.36,32.7,31.69,34.75,33.15,35,34.48,19.48,20.13,21.45,18.8,20.15,18.6,20.06,4.97,4.84,4.9,4.8,4.84,4.8,4.69,14.6,18.61,14,16.77,15.4,14.8,12.6,3837.471429,33.44714286,19.81,4.834285714,15.25428571
201,DS11.03158,IA3023xX4J105.3.4,2021,2920,3336,3706,4049,4927,4832,2021,2919.8,3335.6,3705.5,4049,4927.1,4832.4,34.56,32.34,31.96,34.4,34.06,34.2,34.23,18.97,20.83,20.42,19.48,20.3,19,20.39,4.87,4.74,4.91,4.74,4.81,4.8,4.67,19.6,21.83,17.9,18.47,21,19.8,17.1,3684.342857,33.67857143,19.91285714,4.791428571,19.38571429
202,DS11.03160,IA3023xX4J105.3.4,3889,2833,4210,4405,4576,5151,5093,3888.7,2833.4,4209.9,4404.9,4576.5,5150.9,5093,34.24,34.07,34.21,34.98,34.56,35.3,35.33,19.72,19.68,19.97,18.9,19.57,18.6,19.4,4.83,4.7,4.75,4.74,4.73,4.7,4.69,17.1,20.11,16.3,18.95,16.3,15.8,14.7,4308.185714,34.67,19.40571429,4.734285714,17.03714286
203,DS11.03161,IA3023xX4J105.3.4,3895,2661,3578,3981,4977,4830,5643,3895,2660.9,3577.7,3981.2,4976.7,4830.2,5642.9,33.76,34.3,32.61,36.07,34.71,34.9,35.29,19.97,19.34,20.04,18.29,19.11,18.4,19.01,4.82,4.74,4.9,4.68,4.75,4.8,4.72,13.3,17.41,13.4,18.68,15.8,13.6,12.1,4223.514286,34.52,19.16571429,4.772857143,14.89857143
204,DS11.03162,IA3023xX4J105.3.4,3830,3233,3161,3712,5207,5223,5239,3829.6,3233.4,3160.8,3712.2,5207.2,5223.1,5238.8,31.98,32.18,31.75,35.1,33.99,34.4,34.95,20.09,20.74,21.67,19.04,20.09,19.2,19.47,4.96,4.74,4.85,4.7,4.8,4.8,4.7,16.8,15.45,13.7,16.23,15.4,16.1,11.9,4229.3,33.47857143,20.04285714,4.792857143,15.08285714
205,DS11.03163,IA3023xX4J105.3.4,3422,3659,3383,4324,4122,5196,5412,3422.2,3659.4,3382.7,4324.2,4122.1,5196.5,5412.3,32.64,33.08,31.88,34.84,32.72,34.3,33.63,19.69,20.5,21.13,19.4,20.96,19.1,20.6,4.92,4.69,4.89,4.72,4.76,4.8,4.71,18.7,21.1,19.4,19.66,19.2,20.1,16,4217.057143,33.29857143,20.19714286,4.784285714,19.16571429
206,DS11.03164,IA3023xX4J105.3.4,1439,3025,3510,3907,4757,5500,4282,1438.8,3025.4,3510.5,3907.2,4757,5500.4,4282.3,32.59,31.33,31.75,33.16,32.06,33.6,35.02,20.45,21.66,21.92,20.17,21.21,20.1,20.02,4.88,4.74,4.79,4.79,4.81,4.8,4.62,15.5,18.82,16,18.26,17.4,16.9,14.2,3774.514286,32.78714286,20.79,4.775714286,16.72571429
207,DS11.03165,IA3023xX4J105.3.4,3372,2361,3349,4042,NA,4985,4842,3372,2360.9,3349.1,4041.7,NA,4984.7,4842.4,33.23,31.24,31.33,NA,33.88,33.9,33.92,20.47,21.34,21.02,NA,20.6,19.5,19.93,4.81,4.8,4.88,NA,4.72,4.8,4.75,15.7,19.38,16.7,NA,19,18.6,14.9,3825.133333,32.91666667,20.47666667,4.793333333,17.38
208,DS11.03166,IA3023xX4J105.3.4,2650,2864,2892,3450,4903,4487,5625,2650.4,2864.5,2891.8,3449.9,4902.9,4487.1,5625.1,33.43,31.57,30.29,33.76,32.95,33.6,35.4,19.03,21.49,21.69,19.56,20.45,19,18.98,4.94,4.74,5,4.76,4.88,4.9,4.71,15,16.73,13,16.29,16.8,14.8,12,3838.814286,33,20.02857143,4.847142857,14.94571429
209,DS11.03168,IA3023xX4J105.3.4,3776,3133,3457,4149,5416,5392,3536,3776.4,3133.2,3456.7,4149.3,5416.5,5392.2,3536.4,32.43,33.36,33.01,34.61,33.96,34.8,34.99,19.63,20.5,20.69,19.04,19.82,18.5,19.68,4.96,4.71,4.82,4.77,4.76,4.8,4.68,17.1,19.01,18.8,18.47,19.7,17,15.1,4122.957143,33.88,19.69428571,4.785714286,17.88285714
210,DS11.03169,IA3023xX4J105.3.4,3384,2674,4022,3914,4833,5274,4827,3384.3,2673.6,4021.6,3914,4833,5274.3,4827.1,33.54,34.71,34.04,36.59,35.81,36.5,36.02,19.59,19.06,20.09,18.22,19.06,17.5,18.91,4.9,4.69,4.77,4.64,4.63,4.7,4.64,13.2,17.75,14.2,17.78,16,15.5,11.9,4132.557143,35.31571429,18.91857143,4.71,15.19
211,DS11.03170,IA3023xX4J105.3.4,3367,3257,3887,4620,5118,5738,5381,3366.6,3256.8,3887.1,4620.1,5118.5,5737.8,5381.2,32.81,33.51,33.69,35.13,35.1,34.9,35.15,20.42,20.42,20.33,19.23,19.51,18.9,20.01,4.86,4.67,4.77,4.69,4.65,4.7,4.62,14.6,18.58,16.4,19.6,18,18.1,15.5,4481.157143,34.32714286,19.83142857,4.708571429,17.25428571
212,DS11.03171,IA3023xX4J105.3.4,3660,3161,4364,3537,5049,5492,5113,3659.5,3160.8,4364.5,3537.4,5049,5492.2,5112.9,34.11,32.5,30.15,34.02,32.69,33.3,34.51,19.43,20.3,21.95,19.41,20.53,19.5,20.12,4.82,4.8,4.94,4.79,4.81,4.9,4.69,15.5,18.58,16.4,18.02,18.3,15.7,14.5,4339.471429,33.04,20.17714286,4.821428571,16.71428571
213,DS11.03172,IA3023xX4J105.3.4,3164,2916,3921,4217,5053,5270,4879,3163.5,2916.4,3920.7,4216.6,5053,5270.4,4878.8,34.27,32.97,33.33,35.22,34.91,34.5,34.81,19.21,20.08,20.62,18.98,19.48,18.9,19.83,4.84,4.78,4.81,4.72,4.71,4.8,4.69,14.4,17.07,13.6,16.2,15,14.2,12.7,4202.771429,34.28714286,19.58571429,4.764285714,14.73857143
214,DS11.03173,IA3023xX4J105.3.4,2922,3216,3228,3531,4926,4637,6281,2922.1,3215.6,3228,3530.6,4926,4637,6281,33.14,32.63,30.32,34.74,34.05,34.4,33.45,19.28,20.68,21.31,19.14,20.16,18.9,20.1,4.93,4.75,4.96,4.74,4.78,4.8,4.81,15.6,19.13,15.6,17.57,15.6,14.8,12.4,4105.757143,33.24714286,19.93857143,4.824285714,15.81428571
215,DS11.03174,IA3023xX4J105.3.4,3994,2654,3712,4338,5950,4676,4970,3993.7,2653.6,3712.2,4337.6,5949.6,4675.8,4970.4,35.88,32.24,31.77,33.11,32.2,33.6,35.1,18.43,20.74,21.15,19.71,20.81,19.1,19.39,4.75,4.74,4.86,4.83,4.83,4.8,4.69,15.5,19.65,16.4,19.99,17.1,15.7,13.4,4327.557143,33.41428571,19.90428571,4.785714286,16.82
216,DS11.03175,IA3023xX4J105.3.4,3878,2894,3571,3470,5008,5756,5587,3877.5,2894.1,3571,3470.1,5008.3,5756,5586.6,33.95,33.12,33,36.22,35.03,34.5,34.65,19.38,20.75,20.99,18.46,19.88,18.8,19.81,4.84,4.69,4.79,4.66,4.72,4.8,4.7,14.4,16.73,15,19.1,17.3,15.4,12.9,4309.085714,34.35285714,19.72428571,4.742857143,15.83285714
217,DS11.03176,IA3023xX4J105.3.4,3198,3034,3934,3497,4213,4898,4030,3197.7,3033.6,3934.1,3497,4212.9,4897.9,4030.4,33.75,33.37,31.22,35.82,33.29,34.1,34.13,20.26,20.93,22.02,19.67,20.66,20,21.06,4.77,4.64,4.87,4.58,4.82,4.7,4.61,15.8,18.18,15.2,19.13,16.1,16.1,13.9,3829.085714,33.66857143,20.65714286,4.712857143,16.34428571
218,DS11.03177,IA3023xX4J105.3.4,3619,3110,3134,3853,5201,5038,4498,3618.6,3110.4,3133.9,3853.4,5201.4,5038.2,4497.6,33.45,32.27,31.57,34.67,32.12,33.6,34.01,18.77,21.03,21.66,19.77,20.92,19.6,20.89,4.95,4.71,4.84,4.65,4.82,4.8,4.66,17.3,17.04,15.6,19.31,17.5,16.3,14.7,4064.785714,33.09857143,20.37714286,4.775714286,16.82142857
219,DS11.03178,IA3023xX4J105.3.4,1772,3292,3423,3396,NA,5583,5282,1772.4,3292.4,3423,3396.1,NA,5582.8,5281.9,33.31,34.26,32.92,NA,34.89,34.6,35.18,19.59,20.45,21.07,NA,19.61,19.4,20.48,4.89,4.63,4.84,NA,4.68,4.7,4.59,15.1,16.95,14.6,NA,15.8,14.9,12.9,3791.433333,34.19333333,20.1,4.721666667,15.04166667
220,DS11.03180,IA3023xX4J105.3.4,2669,3460,3739,4015,4480,5346,4306,2669.3,3460.4,3739.1,4014.8,4480.5,5345.5,4306.4,32.77,32.6,31.71,34.64,33.28,34.8,34.27,19.27,20.82,21.91,19.48,20.58,19.1,20.64,4.95,4.7,4.82,4.69,4.75,4.7,4.66,18.3,18.7,15.1,18.41,16.7,16.1,12.9,4002.285714,33.43857143,20.25714286,4.752857143,16.60142857
221,DS11.03181,IA3023xX4J105.3.4,3314,2927,3094,3537,4610,5542,5728,3313.9,2926.8,3093.5,3537.4,4610,5541.7,5728.1,33.59,33.3,32,34.64,32.95,34.1,33.73,20.35,20.05,21.33,18.94,19.99,18.3,20.38,4.78,4.75,4.85,4.75,4.84,4.9,4.74,15.7,17.99,16.1,16.77,18.7,19.1,15.5,4107.342857,33.47285714,19.90571429,4.801428571,17.12285714
222,DS11.03183,IA3023xX4J105.3.4,3025,3044,3067,3537,4932,4713,6092,3024.6,3044.2,3066.6,3537.4,4931.6,4713.1,6092.5,32.08,31.21,32.4,33.68,32.31,33.5,34.84,19.81,21.56,21.08,20.22,20.89,19.6,19.83,5.01,4.74,4.84,4.72,4.81,4.8,4.7,14.4,15.72,15,18.23,15.6,17.3,12.2,4058.571429,32.86,20.42714286,4.802857143,15.49285714
223,DS11.03185,IA3023xX4J105.3.4,2503,2999,4358,3961,4940,4898,6516,2503.2,2999.2,4357.8,3961,4940.4,4897.9,6515.8,32.02,31.98,31.92,33.08,33.56,34,34.57,20.19,20.51,21.26,19.83,20.46,19.1,19.53,4.96,4.82,4.83,4.84,4.8,4.8,4.74,13.2,16.12,14.4,14.82,14.8,15.3,11.1,4310.757143,33.01857143,20.12571429,4.827142857,14.24857143
224,DS11.03186,IA3023xX4J105.3.4,2869,2760,4082,4257,4159,5878,5664,2868.6,2759.5,4082.1,4256.9,4159.3,5878.2,5664.5,33.89,32.58,32.09,33.73,33.13,33.7,33.9,19.75,20.7,20.87,19.59,20.14,19.5,19.64,4.86,4.8,4.85,4.81,4.81,4.8,4.79,13.5,19.22,17.4,18.17,18.6,17.6,13.9,4238.442857,33.28857143,20.02714286,4.817142857,16.91285714
225,DS11.03188,IA3023xX4J105.3.4,1926,2824,3484,3201,4906,4644,5470,1926.3,2823.5,3483.6,3201.1,4905.6,4643.7,5469.6,34.7,33.89,32.51,36.72,34.15,34.9,35.51,19.36,20.12,21.27,18.4,20.65,18.7,20.02,4.82,4.74,4.81,4.62,4.64,4.8,4.56,17.6,19.96,16.9,19.57,18.5,18.5,15.5,3779.057143,34.62571429,19.78857143,4.712857143,18.07571429
226,DS11.03189,IA3023xX4J105.3.4,3668,2580,3477,3598,5150,5206,4507,3667.6,2580.5,3476.8,3597.9,5149.7,5206.1,4506.7,32.44,32.95,32.32,34.31,35,35.7,36.02,20.55,20.87,21.22,19.26,19.88,17.9,19.13,4.88,4.7,4.83,4.76,4.65,4.8,4.62,17.3,17.96,15.1,17.24,15.8,14.3,13,4026.471429,34.10571429,19.83,4.748571429,15.81428571
227,DS11.03190,IA3023xX4J105.3.4,3190,3078,3315,3504,4796,5707,4125,3190.3,3077.5,3315.4,3503.7,4796.4,5707.2,4125.2,33.28,31.66,30.11,35.19,32.84,34.7,33.6,20.01,21.82,21.98,19.15,21.1,19,20.58,4.85,4.69,4.94,4.7,4.74,4.8,4.72,16.5,17.47,15.1,18.41,16.9,15,13.6,3959.385714,33.05428571,20.52,4.777142857,16.14
228,DS11.03195,IA3023xX4J105.3.4,3662,3344,3342,3900,4653,4834,4898,3662.2,3344.4,3342.3,3900.5,4652.7,4833.7,4898,34.3,32.64,33.2,35.94,34.82,35.1,36.65,19.42,21.11,21.44,19.08,20.27,19,18.48,4.8,4.71,4.71,4.63,4.62,4.7,4.59,15.2,16.4,15.1,17.84,15.9,14.9,12.2,4090.542857,34.66428571,19.82857143,4.68,15.36285714
229,DS11.03196,IA3023xX4J105.3.4,3546,3041,3759,4223,4105,5338,4361,3546.4,3040.9,3759.3,4223.3,4105.4,5338.2,4361.3,34.18,33.6,32.2,34.94,34.03,34.2,34.71,19.93,20.28,21.27,19.27,19.97,19,19.6,4.78,4.77,4.83,4.71,4.78,4.8,4.73,15.7,19.1,16,18.05,17.2,17.1,13.1,4053.542857,33.98,19.90285714,4.771428571,16.60714286
230,DS11.03197,IA3023xX4J105.3.4,3167,2593,3430,3067,4698,4158,5449,3166.6,2593.3,3429.8,3066.6,4697.9,4157.7,5449,34.47,33.95,32.99,36.46,35.33,36,36.44,19.32,20.08,20.72,18.62,19.48,18,18.34,4.8,4.74,4.8,4.61,4.65,4.8,4.64,13.6,15.45,13.2,16.11,14.8,14.8,11.7,3794.414286,35.09142857,19.22285714,4.72,14.23714286
231,DS11.03198,IA3023xX4J105.3.4,2029,2244,3645,3584,4972,5047,5081,2028.7,2244.3,3645,3584.4,4971.7,5047.1,5081.1,33.5,31.58,31.09,34.15,31.91,33.6,34.44,20.89,21.88,21.57,20.14,21.61,20.1,20.67,4.76,4.74,4.87,4.66,4.79,4.8,4.61,12.9,17.44,14.8,17.66,16.4,14.5,12,3800.328571,32.89571429,20.98,4.747142857,15.1
232,DS11.03199,IA3023xX4J105.3.4,3276,3256,3497,3531,4896,4908,4490,3275.8,3255.7,3497,3530.6,4895.7,4907.9,4490.3,33.69,33.54,31.44,34.79,33.27,35,35.35,19.34,20.1,21.12,18.85,20.21,18.2,19.53,4.92,4.75,4.9,4.74,4.79,4.8,4.63,13.9,16.55,13.5,17.51,15.1,14,11.4,3979,33.86857143,19.62142857,4.79,14.56571429
233,DS11.03200,IA3023xX4J105.3.4,3330,3400,3060,3800,3720,4841,3315,3330.2,3399.5,3059.9,3799.6,3719.9,4841.3,3315.2,32.97,33.01,31.69,35.65,33.69,35.4,35.59,19.11,20.48,21.53,18.67,19.96,18.3,18.92,4.98,4.72,4.87,4.7,4.77,4.8,4.66,15.5,15.08,13.5,16.35,14.8,14.5,11.1,3637.942857,34,19.56714286,4.785714286,14.40428571
234,DS11.03202,IA3023xX4J105.3.4,2650,2726,3571,4075,5630,4226,6422,2649.6,2725.5,3571,4075.4,5629.9,4226.5,6422,32.17,31.71,31.84,34.42,32.28,33.2,34.53,20.72,20.58,21.05,18.94,20.76,19,19.22,4.9,4.84,4.91,4.78,4.85,4.9,4.79,14.1,17.2,14.8,17.9,15.8,15.1,11.9,4185.7,32.87857143,20.03857143,4.852857143,15.25714286
235,DS11.03203,IA3023xX4J105.3.4,2718,2882,3544,3282,5222,5604,3365,2718.3,2881.9,3544.1,3281.8,5221.7,5604.2,3365.4,32.42,32.42,31.85,36.15,33.61,34.8,35.41,20.59,20.65,21.34,18.45,19.97,18.6,19.67,4.88,4.76,4.86,4.68,4.77,4.8,4.63,18.2,22.71,18.1,21.25,20.8,18.6,15.2,3802.485714,33.80857143,19.89571429,4.768571429,19.26571429
236,DS11.24002,IA3023xLG03.2979,3097,2242,3329,3605,4589,5256,2463,3096.6,2242,3328.9,3604.6,4589.4,5255.7,2462.8,32.19,31.57,32.27,33.79,33.9,34.1,35.12,19.91,21.02,21.45,19.21,19.75,18.9,19.9,4.99,4.8,4.83,4.84,4.77,4.8,4.61,14.2,15.08,13.1,15.51,14.6,14.8,11.8,3511.428571,33.27714286,20.02,4.805714286,14.15571429
237,DS11.24003,IA3023xLG03.2979,3057,2929,3584,3571,4531,5036,4050,3057.4,2929.4,3584.4,3571,4531,5036.5,4049.6,31.51,32.96,31.16,34.48,34.16,34.3,35.56,19.82,20.52,22.4,20.11,20.62,19.7,20.27,5.01,4.72,4.86,4.67,4.66,4.7,4.58,15.3,15.69,13.8,14.43,16,14.6,12.2,3822.757143,33.44714286,20.49142857,4.742857143,14.57428571
