id,progeny,family,IA_2012_yield,IA_2013_yield,IL_2012_yield,IL_2013_yield,IN_2012_yield,IN_2013_yield,NE_2012_yield,IA_2012_Yield,IA_2013_Yield,IL_2012_Yield,IL_2013_Yield,IN_2012_Yield,IN_2013_Yield,NE_2012_Yield,IA_2013_Protein,IL_2012_Protein,IL_2013_Protein,IN_2012_Protein,IN_2013_Protein,NE_2012_Protein,NE_2013_Protein,IA_2013_Oil,IL_2012_Oil,IL_2013_Oil,IN_2012_Oil,IN_2013_Oil,NE_2012_Oil,NE_2013_Oil,IA_2013_Fiber,IL_2012_Fiber,IL_2013_Fiber,IN_2012_Fiber,IN_2013_Fiber,NE_2012_Fiber,NE_2013_Fiber,IA_2013_seedWT,IL_2012_seedWT,IL_2013_seedWT,IN_2012_seedWT,IN_2013_seedWT,NE_2012_seedWT,NE_2013_seedWT,mean_Yield,mean_Protein,mean_Oil,mean_Fiber,mean_seedWT
109,DS11.03013,IA3023xX4J105.3.4,3479,2365,4264,3531,5106,5083,4474,3479.3,2365.1,4263.7,3530.6,5105.6,5082.8,4474,33.59,32.89,31.22,34.78,34.8,34.4,35.11,19.5,20.34,22.1,19.29,20.11,19.3,20.16,4.86,4.73,4.82,4.71,4.63,4.8,4.61,13.9,16.24,14,15.3,15.8,14.5,11.7,4043.014286,33.82714286,20.11428571,4.737142857,14.49142857
110,DS11.03014,IA3023xX4J105.3.4,3217,2435,5124,3941,5298,5665,5618,3217.2,2435.2,5124.5,3940.9,5297.8,5664.9,5618.4,32.93,34.49,32.47,36.18,34.79,34.7,37.3,19.54,19.41,21.1,18.5,19.49,18.8,19.07,4.9,4.73,4.82,4.66,4.76,4.8,4.46,14.8,18.7,15.1,16.26,15.7,15.7,12.4,4471.271429,34.69428571,19.41571429,4.732857143,15.52285714
111,DS11.03015,IA3023xX4J105.3.4,3853,2462,4082,4237,5448,5304,5186,3853.1,2462.4,4082.1,4236.8,5448,5304.2,5185.6,32.7,31.79,30.62,34.74,33.63,33.7,35.51,19.44,21.01,21.82,19.37,20.32,19.2,19.86,4.93,4.82,4.91,4.73,4.74,4.8,4.6,16.2,19.01,16.9,18.35,17.4,17,14.3,4367.457143,33.24142857,20.14571429,4.79,17.02285714
112,DS11.03016,IA3023xX4J105.3.4,3804,1909,4277,3699,4312,4932,5166,3803.6,1909.2,4277.1,3698.8,4312.4,4931.8,5166.4,33.14,33.57,32.66,34.42,34.47,34.4,36.6,19.23,20.02,21.13,19.4,20.02,19.1,18.6,4.93,4.7,4.83,4.76,4.69,4.8,4.61,15.2,18.45,14.6,17.27,16.8,16.4,11.9,4014.185714,34.18,19.64285714,4.76,15.80285714
113,DS11.03017,IA3023xX4J105.3.4,3675,2167,3934,4022,4881,4710,6064,3674.8,2167.1,3934.1,4021.6,4880.6,4709.5,6063.8,32.49,32.87,31.79,35.44,33.9,33.7,35.22,19.29,20.3,21.17,18.72,19.98,19,19.23,4.91,4.79,4.85,4.72,4.83,4.9,4.68,14.3,19.16,16.1,17.93,16.2,15.7,12,4207.357143,33.63,19.67,4.811428571,15.91285714
114,DS11.03018,IA3023xX4J105.3.4,3784,2077,3006,3134,4452,4752,4150,3783.8,2077.3,3006.1,3133.9,4451.8,4751.8,4150.1,32.25,32.82,30.73,34.25,33.6,33,34.05,19.62,20.64,22.21,19.75,20.34,19.5,20.4,4.98,4.68,4.85,4.67,4.76,4.9,4.71,14.3,16.86,16.1,19.07,16.8,16.6,15,3622.114286,32.95714286,20.35142857,4.792857143,16.39
115,DS11.03019,IA3023xX4J105.3.4,3522,2468,4344,3268,4941,4909,5132,3522.5,2467.8,4344.4,3268.4,4940.6,4908.8,5131.8,32.55,32.69,31.62,35.27,33.12,33.8,36.03,19.4,19.7,21.09,18.5,19.98,18.9,19.3,5.02,4.86,4.86,4.74,4.83,4.9,4.6,16.2,18.15,16.1,17.27,17.9,14.4,13.5,4083.471429,33.58285714,19.55285714,4.83,16.21714286
116,DS11.03020,IA3023xX4J105.3.4,4085,2441,4943,3362,5330,5324,5926,4085.1,2440.7,4942.9,3362.5,5330.1,5324.2,5926.1,30.78,32.71,30.11,34.55,33,34.4,36.08,19.85,20.02,21.81,19.15,20.09,18.8,18.49,5.1,4.77,4.94,4.75,4.82,4.8,4.68,13.8,17.81,13.9,15.72,15.3,14.8,11,4487.371429,33.09,19.74428571,4.837142857,14.61857143
117,DS11.03021,IA3023xX4J105.3.4,3483,2302,3941,4062,4934,5240,5174,3483,2302.2,3940.9,4061.9,4933.9,5240.3,5173.6,32.6,31.47,30.91,33.96,32.88,33.1,34.06,20.07,20.94,21.71,19.42,20.38,19.6,20.05,4.85,4.79,4.88,4.78,4.81,4.8,4.75,14.8,17.16,14.8,17.36,15.8,15.6,12,4162.257143,32.71142857,20.31,4.808571429,15.36
118,DS11.03022,IA3023xX4J105.3.4,4043,2490,3907,3423,5094,4594,4758,4042.7,2489.5,3907.2,3423,5094.3,4594.5,4757.7,30.95,31.29,29.65,32.12,31.97,31.8,34.31,20.92,21.7,22.54,21.14,21.97,20.4,20.95,5.04,4.71,4.93,4.77,4.83,4.9,4.68,14.1,16.52,14.7,15.96,16.1,14.7,13,4044.128571,31.72714286,21.37428571,4.837142857,15.01142857
119,DS11.03023,IA3023xX4J105.3.4,4107,2185,3665,3544,4882,4393,5606,4107.4,2185.2,3665.1,3544.1,4882.1,4392.6,5606.4,31.41,31.17,31.02,32.55,33.07,32.6,34.04,20.58,20.95,21.72,20.4,20.65,19.7,20.12,4.99,4.82,4.96,4.86,4.77,4.9,4.75,13.7,17.5,14.3,16.89,15.1,15.9,12.4,4054.7,32.26571429,20.58857143,4.864285714,15.11285714
120,DS11.03024,IA3023xX4J105.3.4,3370,2584,4304,3914,4907,5389,4484,3370,2584,4304,3914,4906.9,5389.1,4483.6,32.45,33.49,32.68,34.89,35.2,35.3,36.91,19.65,20.28,21.42,19.36,19.79,18.4,18.41,4.98,4.73,4.75,4.75,4.62,4.8,4.59,15.7,18.21,15.1,18.05,16.1,15.3,11.4,4135.942857,34.41714286,19.61571429,4.745714286,15.69428571
121,DS11.03025,IA3023xX4J105.3.4,3920,1989,4479,4042,4772,5723,4527,3919.6,1989.3,4478.9,4041.7,4771.5,5723.2,4526.9,32.33,32.57,30.72,33.76,33.63,34.2,34.83,19.44,20.29,22.02,19.34,20.59,18.6,19.76,4.92,4.74,4.88,4.79,4.71,4.9,4.67,15.8,19.77,16.7,18.77,18.3,16.7,14.2,4207.3,33.14857143,20.00571429,4.801428571,17.17714286
122,DS11.03026,IA3023xX4J105.3.4,3965,2059,4560,3551,5268,5298,5142,3965,2058.8,4559.6,3550.8,5267.5,5298.4,5141.9,33.21,33.51,32.28,35.4,34.8,34.6,35.72,19.87,20.37,21.24,19.09,19.9,18.8,19.63,4.85,4.66,4.8,4.67,4.71,4.8,4.6,14.9,20.2,17,19.34,18.4,16.4,13.6,4263.142857,34.21714286,19.84285714,4.727142857,17.12
123,DS11.03027,IA3023xX4J105.3.4,4251,1929,3726,3833,5041,4349,4844,4250.8,1928.7,3725.7,3833.3,5041.4,4349.3,4844.3,33.17,32.81,32,34.08,34.15,34.6,35.59,19.6,20.8,22.28,19.89,20.49,18.9,19.87,4.87,4.73,4.74,4.7,4.64,4.8,4.57,14.8,19.04,16.1,17.69,17.2,16.8,13.5,3996.214286,33.77142857,20.26142857,4.721428571,16.44714286
124,DS11.03029,IA3023xX4J105.3.4,3906,2310,4364,3753,5495,4567,4496,3905.9,2310.5,4364.5,3752.6,5494.6,4566.7,4495.7,33.32,32.11,30.96,34.24,33.76,34.9,36.18,19.74,21.03,22.38,19.78,20.63,18.9,19.51,4.81,4.74,4.82,4.72,4.7,4.7,4.53,13.2,16.43,13.5,16.17,14.6,15.3,11.2,4127.214286,33.63857143,20.28142857,4.717142857,14.34285714
125,DS11.03030,IA3023xX4J105.3.4,3913,2378,2757,3154,4468,4062,5155,3913.2,2378.4,2757.3,3154,4468.2,4062.5,5155,33.01,32.75,30.71,33.76,34,34,36.17,19.95,21.14,22.14,20.18,20.8,19.5,19.47,4.86,4.75,4.87,4.71,4.67,4.8,4.73,15.6,17.66,15,18.77,17.4,16.8,14,3698.371429,33.48571429,20.45428571,4.77,16.46142857
126,DS11.03031,IA3023xX4J105.3.4,3799,2087,4304,4210,5564,5831,6182,3799.1,2087.4,4304,4209.9,5563.5,5830.6,6181.8,31.92,33.19,30.77,34.58,32.7,33.3,34.17,19.68,20.02,21.68,19.28,20.64,19.3,19.88,5.04,4.74,4.89,4.74,4.85,4.9,4.75,15.5,21.96,16.4,19.16,18.1,17.1,13.6,4568.042857,32.94714286,20.06857143,4.844285714,17.40285714
127,DS11.03032,IA3023xX4J105.3.4,3892.5,2270.5,4143,3722,4697.5,5125.5,5479.5,4039,2001.4,4485.6,4008.1,4655.6,5076.4,5505.3,33.36,33.35,31.46,34.79,32.64,34.1,35.06,19.53,20.25,21.34,19.45,20.95,19.4,19.9,4.82,4.7,4.84,4.69,4.78,4.8,4.66,16.2,21.19,17.3,19.84,18.9,19.7,14.7,4253.057143,33.53714286,20.11714286,4.755714286,18.26142857
128,DS11.03034,IA3023xX4J105.3.4,3586,2117,3766,3853,4563,5848,4924,3585.6,2116.7,3766,3853.4,4563.3,5847.6,4923.6,33.09,31.61,30.83,33.33,33.52,32.4,33,19.52,21.23,21.5,20.18,20.47,20,21.22,4.88,4.75,4.92,4.74,4.8,4.9,4.75,14.4,20.67,17.3,19.46,19.1,17.6,16.1,4093.742857,32.54,20.58857143,4.82,17.80428571
