id,progeny,family,GDDTA_summer,GDDTS_summer,PH_summer,EH_summer,TLN_summer,GDDTA_winter,GDDTS_winter,PH_winter,EH_winter,TLN_winter
99,05CL_2810,B73xCML254,981.8334524,1021.186698,167.3367799,69.91008696,20.64286607,892.423436,906.9059932,140.9794496,62.79865786,17.40735313
100,05CL_2811,B73xCML254,953.9436424,1023.227956,153.5378688,59.33845565,21.3845842,919.6416297,954.5597652,140.2548592,65.52579707,18.21310093
101,05CL_2813,B73xCML254,1012.517893,1049.749552,164.4559644,74.5893185,22.35947613,893.1612623,879.4992173,142.9751541,73.0734322,17.41396734
102,05CL_2814,B73xCML254,1071.461852,1105.394205,149.2867943,65.10356174,22.64059909,962.6711161,964.9073448,126.6388045,59.50467017,19.15670172
103,05CL_2815,B73xCML254,982.513924,1034.453184,159.0543628,62.07004616,21.21424312,945.258531,972.8162509,137.2466152,61.44719694,18.44977386
104,05CL_2816,B73xCML254,1008.855314,1078.034593,130.0241674,51.93649872,21.77253582,948.7928379,965.1576056,122.1363068,53.64719472,19.61564893
105,05CL_2817,B73xCML254,1002.49638,1041.690396,155.452691,69.35884422,20.93580749,933.1751339,945.8692343,134.3019637,63.20718028,18.66439678
106,05CL_2818,B73xCML254,943.6860197,990.8384326,185.3864478,80.57084813,23.01540807,903.5593056,913.2404449,147.8020867,75.62591762,19.42533771
107,05CL_2819,B73xCML254,1028.384108,1045.785019,168.1955262,82.19528435,23.30718221,945.5182702,930.4436762,132.3117463,68.37554461,19.39261845
108,05CL_2820,B73xCML254,989.9416831,1021.850388,181.5720838,74.39478369,21.72709535,925.451612,921.4403934,136.0095476,67.14051359,19.06810282
109,05CL_2821,B73xCML254,1046.106324,1083.129695,186.5146972,89.82514075,24.8595225,961.78792,958.7533689,142.9542965,75.06964712,20.5868855
110,05CL_2822,B73xCML254,979.2950776,1057.034663,197.0058436,78.27826429,24.71061943,907.4170677,948.1314447,153.7202971,65.86148549,20.60223082
111,05CL_2823,B73xCML254,963.9437065,998.991431,173.0362102,71.23137057,20.92884063,854.8678353,859.7439927,133.0625344,56.62071807,16.92441669
112,05CL_2824,B73xCML254,1025.687691,1066.990298,207.4638853,100.1197745,22.16733261,948.2982469,946.542673,151.2653207,84.79903287,18.26345629
113,05CL_2825,B73xCML254,1003.913951,1083.415362,180.6945534,77.64454242,22.42863727,932.7289508,980.1100473,145.3686302,74.9387668,19.43414156
114,05CL_2826,B73xCML254,1094.496584,1153.469424,157.5523044,75.12653177,24.01973124,936.9604976,938.1161611,130.2706248,66.12864317,18.9815864
115,05CL_2827,B73xCML254,1077.541764,1160.554665,152.3787993,67.61685304,22.81570273,911.2530221,921.0934566,131.4111317,61.41173884,17.81887888
116,05CL_2828,B73xCML254,1027.723975,1138.671689,165.9327757,76.75563916,22.03774696,947.2416567,975.0947757,135.5790167,69.1641447,18.91232077
117,05CL_2829,B73xCML254,1244.101536,1375.863637,190.5124167,90.35038525,25.76579,977.2164144,1001.081791,132.9214173,69.17649501,20.49770455
118,05CL_2830,B73xCML254,936.8526444,956.3779234,163.3579891,67.34915218,22.89242147,895.2938607,906.8077715,143.8192799,64.11111217,20.05932163
119,05CL_2832,B73xCML254,1001.29779,1026.571428,186.2275789,88.96236103,21.9513662,886.5708124,875.2593183,143.4605507,71.53921007,17.89099185
120,05CL_2833,B73xCML254,973.9018383,1001.856037,168.0304739,76.38632182,22.0387581,976.5032546,982.0629269,134.3432758,66.22315102,19.61303627
121,05CL_2835,B97xCML254,999.8219777,1017.901544,179.0284453,99.70442378,22.88053936,884.6187622,894.2448767,122.871391,57.87097887,17.01418885
122,05CL_2837,B97xCML254,997.3029812,1017.211223,154.8519944,80.84409739,23.39526992,891.8096312,903.6479941,118.8955194,48.80187548,18.11405409
123,05CL_2838,B97xCML254,1020.857363,1110.378317,177.2577358,96.10580771,22.51619876,918.7422648,974.4985575,125.8555753,60.6796424,17.8437921
124,05CL_2839,B97xCML254,1180.92219,1225.990035,167.3064592,94.29258786,26.44478379,923.8001033,919.8852371,127.907958,61.7396537,20.28856997
