id,progeny,family,Mons_DMY,Einbeck_DMY,Wadersloh_DMY,Roggenstein_DMY,Mons_DMC,Einbeck_DMC,Wadersloh_DMC,Roggenstein_DMC,Mons_PH,Einbeck_PH,Wadersloh_PH,Roggenstein_PH,Mons_DtTAS,Einbeck_DtTAS,Wadersloh_DtTAS,Roggenstein_DtTAS,Mons_DtSILK,Einbeck_DtSILK,Wadersloh_DtSILK,Roggenstein_DtSILK,Mons_NBPL,Einbeck_NBPL,Wadersloh_NBPL,Roggenstein_NBPL
626,CFD10-117,CFD10,152.2096176,202.2377554,148.4351748,219.7122835,44.33553216,32.34388356,35.05333826,37.9952423,237.3922941,317.2781623,311.2014098,335.3914439,82.54489594,83.6173641,73.75660211,81.61433043,83.17387971,83.55755388,78.2150575,84.17335809,79.88533779,88.50604091,68.83070807,82.785852
627,CFD10-118,CFD10,172.8065566,212.9500017,172.9167946,209.3771693,43.80660375,31.49415245,35.94119285,38.59055717,241.5211506,301.62161,280.3602892,321.448575,83.86777587,84.84599957,74.47519862,83.39938413,85.1865639,83.95181171,77.30078748,84.00040885,75.78434394,93.8237354,71.36282977,81.33076073
628,CFD10-119,CFD10,187.6211871,231.3377555,167.0502,244.2725197,43.36144141,31.02633182,31.78278976,37.55339415,242.4427752,314.6072275,310.1098044,338.5851818,85.51844597,84.67537411,73.50343018,85.88047717,85.5667558,84.62012725,79.85039003,85.73321028,78.24543338,93.43065554,72.57400528,71.86592657
629,CFD10-120,CFD10,195.2856302,214.7622466,174.489482,218.0910771,41.48335858,29.14063851,32.38489304,36.38376793,251.6315767,298.5441972,299.2542341,317.5837357,87.28441492,83.35613834,78.99674762,86.45445048,87.44321907,85.40677092,83.24692448,89.04033025,78.93126497,91.87665007,74.66577279,77.33492864
630,CFD10-121,CFD10,178.0822226,233.9622474,174.6903849,196.8824789,38.93988867,27.95758117,29.38146461,31.77818546,246.607318,311.6707275,308.5962825,334.3530284,88.4215792,84.51013069,74.00833644,86.60452858,88.88570461,86.51751238,82.38355482,90.98119819,79.23744678,92.08918233,69.41473845,79.29859053
631,CFD10-125,CFD10,178.4411956,212.3000011,158.4367974,179.0290515,45.67687,32.21166024,36.03467056,37.77779341,240.2227877,299.3032662,281.1157077,296.5492424,82.90703419,84.02656913,73.92361107,85.0182529,83.09717934,82.99679559,79.28629993,85.7889627,79.94838776,90.84153856,65.38820654,79.20754791
632,CFD10-128,CFD10,170.5464576,203.4377542,165.7233675,240.3622052,42.39999721,31.57457112,32.80495326,37.82084958,231.1186468,310.2279948,283.5066679,320.9962551,84.62206984,84.45838025,73.76302713,86.60342254,84.63990191,84.5432184,77.590413,86.35488244,80.03780698,94.89170641,74.96343749,83.24243637
633,CFD10-129,CFD10,136.53125,204.5622401,136.6772672,181.9083086,41.28568221,32.66768007,35.20310127,35.20912524,240.1957686,288.4753407,267.3055727,312.1549886,84.68871644,80.43181503,74.4052931,83.81480705,84.62733847,80.32944925,77.11928558,85.59628755,NA,72.69766683,55.4471901,66.76155336
634,CFD10-130,CFD10,148.5953447,210.0377413,159.3707266,228.6894919,44.18871897,29.1152968,35.26174201,36.02867283,235.6861237,308.8942067,287.4367245,317.7191841,86.17648773,82.74053767,74.00087023,84.38798549,86.87989547,82.58559462,76.23131296,85.40237263,79.55162439,87.38240648,72.4910984,84.21225826
635,CFD10-131,CFD10,171.7283158,201.5377521,149.9922486,199.9191706,41.08674756,29.49052211,32.38599639,34.04572651,231.6672002,274.4811852,261.8363076,294.1118291,84.45229589,82.78434565,73.84798611,80.68254578,84.69128272,81.61856852,78.73993638,79.60146875,79.56078916,93.07134155,70.91277927,79.88798277
