id,progeny,DFF2013,DM2013,HT2013,BIO2013,YLKGHA2013,HI2013,x100SDWT2013,DFF2014,DM2014,PHAVG2014,BIO2014,YLKGHA2014,x100SDWT2014,HI2014
911,ICCML10961,45.96735764,89.90145874,38.70620346,252.190506,1588.72998,0.564987004,29.13611603,51.96982956,87,37.22307587,320.5519409,1687.074585,26.11156464,0.629506886
912,ICCML10962,48.7507515,90.32593536,38.69157028,252,1933.140015,0.690505207,19.48757172,54.75527191,86,36.09319687,429.7890625,1845.761353,19.45892906,0.516936898
913,ICCML10963,46.01958466,90.08338165,31.86510468,309.000061,1888.699707,0.543788135,19.97380257,49.13074493,84.99998474,34.93701172,430.3100586,2114.154053,22.69158554,0.590984821
914,ICCML10964,45.7507515,98.32593536,30.02490234,215.25,1444.300049,0.603977919,22.0875721,48.13074493,87.99998474,33.93701172,390.3100586,1611.105469,20.99281693,0.496675372
915,ICCML10965,49.01958466,91.08338165,34.86510468,254.2223053,1810.92981,0.634797633,19.24380302,51.75527191,86,34.09319687,434.7890625,2166.549805,18.04249954,0.599542618
916,ICCML10966,54.96735764,93.90145874,35.03953552,122.8571777,1033.22998,0.754931986,18.50611687,50.07710648,85,29.99907112,399.7657166,2428.194824,20.55741692,0.72856319
917,ICCML10967,51.7507515,92.32593536,40.02490234,254.1176453,1266.540039,0.448640168,29.63757324,49.91618729,79.99999237,33.78617477,200.2099915,818.0060425,25.50788879,0.48988989
918,ICCML10968,50.1240387,98.02274323,42.8370285,293.2632141,1810.930176,0.555732787,28.39810371,52.88936996,85.00000763,36.35336685,166.83255,569.7722778,30.24530411,0.409327865
919,ICCML10969,51.96735764,95.90145874,42.70620346,215.1875305,1111,0.462666243,28.42611694,51.91618729,86.99999237,37.11950684,380.2099915,927.2123413,24.69774437,0.29181096
920,ICCML10970,55.01958466,103.0833817,37.86510468,236.1905518,1099.889771,0.41277951,25.4138031,52.91618729,96.99999237,37.78617477,644.2099609,1568.122681,19.47213364,0.291203558
921,ICCML10971,63.01958466,106.0833817,44.86510468,328.6316528,1466.519775,0.395291895,15.4338026,53.15756607,94.00000763,34.94194412,196.3032532,533.4529419,15.18871975,0.330211788
922,ICCML10972,39.7507515,94.32593536,47.02490234,272.6666565,1388.75,0.458464265,30.09757233,48.96982956,83,34.88973999,250.5519409,1523.390015,27.24723434,0.728120625
923,ICCML10973,45.96735764,89.90145874,32.70620346,215.6190796,1155.439941,0.480287403,18.46611595,46.91618729,76.99999237,31.78617668,400.2099915,1420.598267,20.30849648,0.425239891
924,ICCML10974,54.07181168,96.29561615,35.93858337,269.166748,1410.970215,0.470392585,22.24354744,54.91618729,92.99999237,26.11950874,320.2099915,889.560791,19.30427933,0.33260864
925,ICCML10975,50.01958466,100.0833817,40.19843674,140.666748,711.0396729,0.448602587,15.49380207,52.10392761,97.00000763,36.33282471,176.237442,648.8239136,15.78077507,0.442600816
926,ICCML10976,49.7507515,94.32593536,38.69157028,192,1866.47998,0.875029027,21.71757317,51.13074493,85.99998474,32.93701172,410.3100586,2021.274658,22.18231964,0.592581511
927,ICCML10977,38.38516617,89.87113953,40.85196304,248.3807831,1833.150146,0.673434556,29.05503654,48.91618729,86.99999237,40.4528389,650.2099609,3354.324463,28.56494713,0.618397593
928,ICCML10978,36.38516617,95.87113953,43.85196304,226.8748322,1033.230103,0.41904977,33.95503616,49.10392761,83.00000763,47.99948883,491.2374573,2161.302002,29.20630836,0.527025342
929,ICCML10979,50.38516617,94.87113953,34.85196304,375.5553894,2455.310303,0.597593904,18.68503571,48.13074493,82.99998474,27.2703476,230.3100433,1029.921265,17.8609314,0.538317502
930,ICCML10980,47.50502396,98.26475525,38.40274429,384.9443665,2221.999756,0.523970842,27.66142845,48.96982956,83,32.88973999,300.5519409,1729.807373,28.82152176,0.688800633
931,ICCML10981,46.01958466,90.08338165,40.86510468,309.4737549,1866.479736,0.536483467,19.15380287,48.15756607,82.00000763,30.27527618,221.3032532,1013.09436,17.90679932,0.550545096
932,ICCML10982,51.7507515,100.3259354,40.69157028,240.2105255,1155.439941,0.432982594,23.18757248,49.96982956,86,34.88973999,330.5519409,1125.216064,20.30437851,0.405933946
933,ICCML10983,48.07181168,93.29561615,35.60525131,247.0588989,1744.270264,0.634042144,24.52354813,54.75527191,86,34.75986481,379.7890625,1637.594727,27.47908974,0.518976688
