id,progeny,PH2015,PH2016,Phmean
872,WM-800_902,78,82,80
873,WM-800_903,78,73,75.5
874,WM-800_904,81,71,76
875,WM-800_905,85,72,78.5
876,WM-800_907,80,66,73
877,WM-800_908,92,82,87
878,WM-800_909,89,74,81.5
879,WM-800_910,87,75,81
880,WM-800_911,75,62,68.5
881,WM-800_912,80,69,74.5
882,WM-800_913,58,57,57.5
883,WM-800_914,75,60,67.5
884,WM-800_915,70,60,65
885,WM-800_916,82,69,75.5
886,WM-800_917,81,67,74
887,WM-800_918,64,62,63
888,WM-800_919,81,78,79.5
889,WM-800_920,61,60,60.5
890,WM-800_921,77,69,73
891,WM-800_922,72,64,68
892,WM-800_923,78,78,78
893,WM-800_924,78,73,75.5
894,WM-800_925,76,70,73
895,WM-800_926,79,65,72
896,WM-800_927,76,61,68.5
897,WM-800_928,76,66,71
898,WM-800_929,79,71,75
899,WM-800_930,61,54,57.5
900,WM-800_931,70,63,66.5
901,WM-800_932,101,81,91
902,WM-800_933,99,79,89
903,WM-800_934,95,89,92
904,WM-800_935,59,59,59
905,WM-800_936,75,60,67.5
906,WM-800_937,80,73,76.5
907,WM-800_939,76,68,72
908,WM-800_940,67,57,62
909,WM-800_941,66,67,66.5
910,WM-800_942,95,85,90
