id,progeny,PH2015,PH2016,Phmean
199,WM-800_216,81,72,76.5
200,WM-800_217,89,77,83
201,WM-800_218,57,50,53.5
202,WM-800_219,101,91,96
203,WM-800_220,104,82,93
204,WM-800_221,92,72,82
205,WM-800_222,84,73,78.5
206,WM-800_224,76,64,70
207,WM-800_225,81,65,73
208,WM-800_226,73,67,70
209,WM-800_227,81,65,73
210,WM-800_228,92,74,83
211,WM-800_229,82,70,76
212,WM-800_230,80,78,79
213,WM-800_232,102,85,93.5
214,WM-800_233,68,63,65.5
215,WM-800_234,90,80,85
216,WM-800_235,87,67,77
217,WM-800_236,96,79,87.5
218,WM-800_237,94,77,85.5
219,WM-800_238,76,60,68
220,WM-800_239,77,69,73
221,WM-800_240,104,91,97.5
222,WM-800_241,105,81,93
223,WM-800_242,66,65,65.5
224,WM-800_243,92,80,86
225,WM-800_244,72,56,64
226,WM-800_245,86,72,79
227,WM-800_246,73,62,67.5
228,WM-800_247,87,70,78.5
229,WM-800_248,85,75,80
230,WM-800_249,104,96,100
231,WM-800_250,67,67,67
232,WM-800_251,82,64,73
233,WM-800_252,83,81,82
234,WM-800_253,74,61,67.5
235,WM-800_255,79,75,77
236,WM-800_256,77,76,76.5
237,WM-800_257,94,84,89
238,WM-800_258,89,79,84
239,WM-800_259,77,75,76
240,WM-800_260,79,79,79
241,WM-800_261,83,81,82
242,WM-800_262,84,77,80.5
243,WM-800_263,84,76,80
244,WM-800_264,88,79,83.5
245,WM-800_265,109,96,102.5
246,WM-800_266,83,82,82.5
247,WM-800_267,78,76,77
248,WM-800_268,106,92,99
249,WM-800_269,82,70,76
250,WM-800_270,112,90,101
251,WM-800_271,87,83,85
252,WM-800_272,99,91,95
253,WM-800_273,98,84,91
254,WM-800_274,98,80,89
255,WM-800_275,111,85,98
256,WM-800_276,114,97,105.5
257,WM-800_277,106,89,97.5
258,WM-800_278,90,81,85.5
259,WM-800_279,81,65,73
260,WM-800_280,97,81,89
261,WM-800_281,101,79,90
262,WM-800_282,100,84,92
263,WM-800_283,98,82,90
264,WM-800_284,96,78,87
265,WM-800_285,75,65,70
266,WM-800_287,91,80,85.5
267,WM-800_288,76,76,76
268,WM-800_289,92,83,87.5
269,WM-800_290,85,77,81
270,WM-800_291,97,80,88.5
271,WM-800_292,109,102,105.5
272,WM-800_293,108,85,96.5
273,WM-800_294,85,91,88
274,WM-800_295,106,92,99
275,WM-800_296,99,86,92.5
276,WM-800_297,103,85,94
277,WM-800_298,76,73,74.5
278,WM-800_299,83,74,78.5
279,WM-800_300,96,83,89.5
280,WM-800_301,77,69,73
281,WM-800_302,75,79,77
282,WM-800_303,89,79,84
283,WM-800_304,65,61,63
284,WM-800_305,70,63,66.5
285,WM-800_306,71,73,72
286,WM-800_308,84,83,83.5
287,WM-800_309,78,86,82
288,WM-800_310,77,65,71
289,WM-800_311,76,82,79
290,WM-800_312,87,98,92.5
291,WM-800_314,66,89,77.5
292,WM-800_315,81,80,80.5
293,WM-800_316,77,71,74
294,WM-800_317,77,77,77
295,WM-800_318,72,72,72
296,WM-800_319,75,73,74
297,WM-800_320,80,70,75
298,WM-800_321,76,58,67
299,WM-800_322,83,79,81
300,WM-800_323,85,79,82
301,WM-800_324,82,72,77
302,WM-800_325,85,76,80.5
303,WM-800_326,92,72,82
304,WM-800_327,91,80,85.5
305,WM-800_328,97,80,88.5
306,WM-800_329,84,77,80.5
307,WM-800_330,106,82,94
308,WM-800_331,73,66,69.5
309,WM-800_332,84,87,85.5
310,WM-800_333,85,81,83
311,WM-800_334,91,91,91
312,WM-800_335,81,72,76.5
313,WM-800_336,94,72,83
314,WM-800_337,81,73,77
315,WM-800_338,86,82,84
316,WM-800_339,57,65,61
317,WM-800_340,66,68,67
318,WM-800_341,69,66,67.5
319,WM-800_342,60,57,58.5
320,WM-800_343,62,51,56.5
321,WM-800_344,71,59,65
322,WM-800_345,59,55,57
323,WM-800_346,46,45,45.5
324,WM-800_348,52,58,55
325,WM-800_349,82,69,75.5
326,WM-800_350,63,67,65
327,WM-800_351,75,76,75.5
328,WM-800_352,90,90,90
329,WM-800_353,73,69,71
330,WM-800_354,48,57,52.5
331,WM-800_355,79,68,73.5
332,WM-800_356,76,76,76
333,WM-800_357,96,81,88.5
334,WM-800_358,105,84,94.5
335,WM-800_359,79,67,73
336,WM-800_360,87,72,79.5
337,WM-800_361,102,90,96
338,WM-800_362,77,61,69
339,WM-800_363,100,79,89.5
340,WM-800_364,82,67,74.5
341,WM-800_365,87,71,79
342,WM-800_366,85,71,78
343,WM-800_367,72,65,68.5
344,WM-800_368,100,89,94.5
345,WM-800_369,88,84,86
346,WM-800_370,93,93,93
347,WM-800_371,106,89,97.5
348,WM-800_372,78,65,71.5
349,WM-800_373,75,67,71
350,WM-800_374,88,89,88.5
351,WM-800_375,112,99,105.5
352,WM-800_376,80,81,80.5
353,WM-800_377,85,79,82
354,WM-800_378,85,78,81.5
355,WM-800_379,76,74,75
356,WM-800_380,82,67,74.5
357,WM-800_381,73,60,66.5
358,WM-800_382,81,75,78
359,WM-800_383,75,72,73.5
360,WM-800_384,80,61,70.5
