id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
284,MAGIC320,MAGIC,NA,NA,42,40,3,NA,78,NA,883.36,376.02,13.1,17.3
285,MAGIC321,MAGIC,NA,NA,46,44,3,NA,106,NA,175.81,NA,20.67,NA
286,MAGIC322,MAGIC,43,NA,37,36,2,2,85,99,909.58,541.72,26.05,30.45
287,MAGIC323,MAGIC,NA,NA,52,51,4,NA,85,NA,2413.99,360.23,20.5,26.5
288,MAGIC324,MAGIC,NA,NA,48,48,3,NA,78,NA,1567.94,698.22,17.5,22.8
289,MAGIC325,MAGIC,NA,NA,37,36,4,NA,70,63,1834.89,593.45,18,19.1
290,MAGIC326,MAGIC,NA,NA,48,47,3,NA,78,NA,2305.63,714.01,21.1,24.8
291,MAGIC327,MAGIC,NA,NA,51,48,2,NA,97,NA,1961.18,NA,28.8,NA
292,MAGIC328,MAGIC,NA,NA,49,49,2,NA,97,NA,308.57,237.52,21.8,16.9
293,MAGIC329,MAGIC,NA,NA,50,48,3,NA,97,NA,843.89,149.98,21.6,26.22
294,MAGIC330,MAGIC,NA,NA,44,40,3,NA,78,106,NA,1044.1,NA,25.4
295,MAGIC331,MAGIC,NA,NA,48,46,2,NA,78,113,NA,NA,NA,NA
296,MAGIC333,MAGIC,NA,NA,49,48,3,NA,85,78,1704.29,579.1,16.5,22.5
297,MAGIC335,MAGIC,72,NA,44,40,4,1,89,74,1222.1,553.07,11.65,12.2
298,MAGIC336,MAGIC,51,NA,41,41,2,2,92,81,615.53,702.85,24.35,26.05
299,MAGIC337,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,MAGIC338,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,MAGIC339,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,MAGIC340,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,MAGIC343,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,MAGIC361,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,MAGIC362,MAGIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
