id,progeny,pop,FT_fi_l,FT_ri_l,FT_fi_s,FT_ri_s,GI_fi_s,GS_ri_s,Matruity_fi_s,Matruity_ri_s,GY_fi_s,GY_ri_s,SS_fi_s,SS_ri_s
78,MAGIC084,MAGIC,56,58,40,37,2,1,69,86,459.1,339.39,12.2,15.05
79,MAGIC085,MAGIC,68,70,47,50,3,2,89,120,1485.84,393.73,17.8,15.9
80,MAGIC086,MAGIC,59,56,41,38,1,1,76,76,813.39,406.84,11,13.95
81,MAGIC087,MAGIC,64,70,45,46,3,2,96,85,1009.2,264.21,21.6,21.49
82,MAGIC088,MAGIC,90,77,54,56,2,2,106,120,21.53,65.69,6.89,13.1
83,MAGIC089,MAGIC,64,57,42,42,4,2,81,72,1225.32,472.05,12.8,14.2
84,MAGIC090,MAGIC,59,69,47,46,3,2,99,103,1332.31,335.48,11.15,14.1
85,MAGIC091,MAGIC,45,47,40,41,2,2,85,85,1486.92,515.75,20.8,29.1
86,MAGIC092,MAGIC,77,86,45,47,2,1,99,99,1866.82,445.3,14.8,19.8
87,MAGIC094,MAGIC,90,NA,50,47,2,2,103,120,2245.58,379.97,18.3,18.2
88,MAGIC095,MAGIC,65,69,47,45,3,2,99,120,1278.1,635.85,18.15,23
89,MAGIC096,MAGIC,64,NA,43,44,3,2,78,91,1692.48,502.71,14.1,16.25
90,MAGIC097,MAGIC,90,72,43,45,4,2,92,92,1299.3,428.93,16.65,20.3
91,MAGIC098,MAGIC,56,56,41,42,2,2,81,94,1871.42,532.72,16.65,21.4
92,MAGIC099,MAGIC,67,80,43,44,3,2,81,78,2154.67,521.76,12.3,12.9
93,MAGIC100,MAGIC,69,70,40,41,3,2,81,72,870.12,592.24,11.1,16.65
94,MAGIC101,MAGIC,47,52,38,39,2,2,82,72,1343.04,436.36,10.4,11.35
95,MAGIC102,MAGIC,57,52,38,40,3,2,74,72,1555.32,494.16,14.8,16.3
96,MAGIC104,MAGIC,56,56,43,47,2,1,89,120,2025.6,238.93,18.6,21.93
97,MAGIC105,MAGIC,56,57,48,47,3,2,99,99,1592.34,233.28,12.85,12.9
98,MAGIC106,MAGIC,77,73,49,48,3,2,95,99,1230.74,436.82,10.35,11.8
99,MAGIC107,MAGIC,90,84,49,46,3,2,96,99,1604.21,215.05,10.1,11.75
100,MAGIC109,MAGIC,48,46,39,41,2,2,82,69,1121.44,325.66,13.7,15.95
101,MAGIC110,MAGIC,55,NA,35,39,2,1,86,65,1523.97,319.2,11.6,10.8
102,MAGIC111,MAGIC,49,47,40,44,3,2,81,94,1879.38,450.78,11.4,14.05
103,MAGIC112,MAGIC,60,63,41,43,4,2,72,74,1561.75,438.74,13.2,16.9
104,MAGIC113,MAGIC,90,69,49,46,2,2,95,120,1926.64,470.25,14.2,17.35
105,MAGIC114,MAGIC,61,60,41,41,2,2,78,69,1086.7,451.79,15.55,19.8
106,MAGIC115,MAGIC,90,NA,45,44,2,2,78,85,1357.59,856.42,13.9,13.9
107,MAGIC116,MAGIC,45,44,35,39,1,1,69,65,952.9,460.7,15.8,18.7
108,MAGIC117,MAGIC,72,NA,49,49,2,2,99,120,1324.19,261.86,15.8,14.3
109,MAGIC118,MAGIC,50,53,42,44,2,2,95,117,1478.15,547.26,17.15,19
110,MAGIC119,MAGIC,50,49,40,43,2,2,96,99,723.82,272.23,14.25,16.05
111,MAGIC120,MAGIC,90,NA,44,45,2,1,82,85,1721.7,395.3,18.4,22.55
112,MAGIC122,MAGIC,56,55,36,39,2,2,82,69,694.01,165.6,12.4,12.45
113,MAGIC123,MAGIC,47,56,40,44,3,1,78,69,939.3,322.66,15.25,17.95
114,MAGIC124,MAGIC,70,77,41,41,2,1,92,120,1098.7,273.99,20.2,22.2
